<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
BTN,20190527,6.2000,6.2000,6.2000,6.2000,100
BTN,20190528,6.2000,6.2000,6.2000,6.2000,0
BTN,20190529,5.5000,5.5000,5.3000,5.3000,600
BTN,20190530,5.4000,5.4000,5.4000,5.4000,0
BTN,20190531,4.7000,4.7000,4.7000,4.7000,100
BTN,20190603,4.7000,4.7000,4.7000,4.7000,0
BTN,20190604,4.7000,4.7000,4.7000,4.7000,0
BTN,20190605,4.7000,4.7000,4.7000,4.7000,0
BTN,20190606,4.7000,4.7000,4.7000,4.7000,0
BTN,20190607,4.7000,4.7000,4.7000,4.7000,0
BTN,20190610,4.7000,4.7000,4.7000,4.7000,0
BTN,20190611,4.7000,4.7000,4.7000,4.7000,0
BTN,20190612,4.7000,4.7000,4.7000,4.7000,0
BTN,20190613,4.7000,4.7000,4.7000,4.7000,0
BTN,20190614,4.7000,4.7000,4.7000,4.7000,0
BTN,20190617,4.0000,4.0000,4.0000,4.0000,100
BTN,20190618,4.6000,4.6000,4.6000,4.6000,100
BTN,20190619,4.6000,4.6000,4.6000,4.6000,0
BTN,20190620,4.6000,4.6000,4.6000,4.6000,0
BTN,20190621,4.6000,4.6000,4.6000,4.6000,0
BTN,20190624,4.6000,4.6000,4.6000,4.6000,900
BTN,20190625,4.3000,4.3000,4.3000,4.3000,100
BTN,20190626,4.3000,4.3000,4.3000,4.3000,0
BTN,20190627,4.3000,4.3000,4.3000,4.3000,0
BTN,20190628,3.7000,3.7000,3.7000,3.7000,300
BTN,20190701,4.2000,4.2000,4.2000,4.2000,100
BTN,20190702,4.8000,4.8000,4.8000,4.8000,100
BTN,20190703,4.3000,4.3000,4.3000,4.3000,100
BTN,20190704,4.9000,4.9000,4.9000,4.9000,100
BTN,20190705,5.5000,5.5000,5.5000,5.5000,100
BTN,20190708,6.2000,6.2000,6.2000,6.2000,100
BTN,20190709,6.9000,6.9000,6.9000,6.9000,100
BTN,20190710,7.7000,7.7000,5.9000,5.9000,300
BTN,20190711,7.3000,7.3000,5.6000,7.1000,400
BTN,20190712,6.5000,6.5000,6.5000,6.5000,0
BTN,20190715,6.9000,6.9000,6.9000,6.9000,100
BTN,20190716,6.9000,6.9000,6.9000,6.9000,0
BTN,20190717,6.9000,6.9000,6.9000,6.9000,0
BTN,20190718,6.9000,6.9000,6.9000,6.9000,0
BTN,20190719,7.5000,7.5000,7.5000,7.5000,100
BTN,20190722,7.5000,7.5000,7.5000,7.5000,0
BTN,20190723,7.5000,7.5000,7.5000,7.5000,0
BTN,20190724,6.4000,6.4000,6.4000,6.4000,400
BTN,20190725,6.4000,6.4000,6.4000,6.4000,0
BTN,20190726,6.9000,6.9000,6.9000,6.9000,100
BTN,20190729,7.4000,7.4000,5.9000,7.4000,300
BTN,20190730,7.2000,7.2000,7.2000,7.2000,100
BTN,20190731,7.2000,7.2000,7.2000,7.2000,0
BTN,20190801,7.2000,7.2000,7.2000,7.2000,0
BTN,20190802,7.2000,7.2000,7.2000,7.2000,0
BTN,20190805,7.2000,7.2000,7.2000,7.2000,0
BTN,20190806,7.2000,7.2000,7.2000,7.2000,0
BTN,20190807,7.2000,7.2000,7.2000,7.2000,0
BTN,20190808,7.2000,7.2000,7.2000,7.2000,0
BTN,20190809,7.2000,7.2000,7.2000,7.2000,0
BTN,20190812,7.2000,7.2000,7.2000,7.2000,0
BTN,20190813,7.2000,7.2000,7.2000,7.2000,0
BTN,20190814,7.2000,7.2000,7.2000,7.2000,0
BTN,20190815,7.2000,7.2000,7.2000,7.2000,0
BTN,20190816,7.2000,7.2000,7.2000,7.2000,0
BTN,20190819,7.2000,7.2000,7.2000,7.2000,0
BTN,20190820,7.2000,7.2000,7.2000,7.2000,0
BTN,20190821,7.2000,7.2000,7.2000,7.2000,0
BTN,20190822,7.2000,7.2000,7.2000,7.2000,0
BTN,20190823,7.2000,7.2000,7.2000,7.2000,0
BTN,20190826,7.2000,7.2000,7.2000,7.2000,0
BTN,20190827,7.2000,7.2000,7.2000,7.2000,0
BTN,20190828,7.2000,7.2000,7.2000,7.2000,0
BTN,20190829,7.2000,7.2000,7.2000,7.2000,0
BTN,20190830,7.2000,7.2000,7.2000,7.2000,0
BTN,20190903,7.2000,7.2000,7.2000,7.2000,0
BTN,20190904,7.2000,7.2000,7.2000,7.2000,0
BTN,20190905,7.2000,7.2000,7.2000,7.2000,0
BTN,20190906,7.8000,7.8000,7.8000,7.8000,100
BTN,20190909,7.8000,7.8000,7.8000,7.8000,0
BTN,20190910,7.8000,7.8000,7.8000,7.8000,0
BTN,20190911,7.8000,7.8000,7.8000,7.8000,0
BTN,20190912,7.8000,7.8000,7.8000,7.8000,0
BTN,20190913,7.8000,7.8000,7.8000,7.8000,0
BTN,20190916,7.8000,7.8000,7.8000,7.8000,0
BTN,20190917,7.8000,7.8000,7.8000,7.8000,0
BTN,20190918,7.8000,7.8000,7.8000,7.8000,0
BTN,20190919,7.8000,7.8000,7.8000,7.8000,0
BTN,20190920,7.8000,7.8000,7.8000,7.8000,0
BTN,20190923,7.8000,7.8000,7.8000,7.8000,0
BTN,20190924,7.0000,7.0000,7.0000,7.0000,100
BTN,20190925,7.0000,7.0000,7.0000,7.0000,0
BTN,20190926,7.0000,7.0000,7.0000,7.0000,0
BTN,20190927,7.0000,7.0000,7.0000,7.0000,0
BTN,20190930,7.0000,7.0000,7.0000,7.0000,0
BTN,20191001,7.0000,7.0000,7.0000,7.0000,0
BTN,20191002,7.0000,7.0000,7.0000,7.0000,0
BTN,20191003,7.0000,7.0000,7.0000,7.0000,0
BTN,20191004,7.0000,7.0000,7.0000,7.0000,0
BTN,20191007,7.0000,7.0000,7.0000,7.0000,0
BTN,20191008,7.0000,7.0000,7.0000,7.0000,0
BTN,20191009,7.0000,7.0000,7.0000,7.0000,0
BTN,20191010,7.0000,7.0000,7.0000,7.0000,0
BTN,20191011,7.0000,7.0000,7.0000,7.0000,0
BTN,20191014,7.0000,7.0000,7.0000,7.0000,0
BTN,20191015,7.0000,7.0000,7.0000,7.0000,0
BTN,20191016,7.0000,7.0000,7.0000,7.0000,0
BTN,20191017,7.0000,7.0000,7.0000,7.0000,0
BTN,20191018,7.0000,7.0000,7.0000,7.0000,0
BTN,20191021,7.0000,7.0000,7.0000,7.0000,0
BTN,20191022,7.0000,7.0000,7.0000,7.0000,0
BTN,20191023,7.0000,7.0000,7.0000,7.0000,0
BTN,20191024,7.0000,7.0000,7.0000,7.0000,0
BTN,20191025,7.0000,7.0000,7.0000,7.0000,0
BTN,20191028,7.0000,7.0000,7.0000,7.0000,0
BTN,20191029,7.0000,7.0000,7.0000,7.0000,0
BTN,20191030,7.0000,7.0000,7.0000,7.0000,0
BTN,20191031,7.0000,7.0000,7.0000,7.0000,0
BTN,20191101,5.9000,5.9000,5.5000,5.5000,200
BTN,20191104,5.7000,5.7000,5.7000,5.7000,0
BTN,20191105,5.7000,5.7000,5.7000,5.7000,0
BTN,20191106,5.7000,5.7000,5.7000,5.7000,0
BTN,20191107,5.7000,5.7000,5.7000,5.7000,0
BTN,20191108,5.7000,5.7000,5.7000,5.7000,0
BTN,20191111,5.7000,5.7000,5.7000,5.7000,0
BTN,20191112,5.7000,5.7000,5.7000,5.7000,0
BTN,20191113,5.7000,5.7000,5.7000,5.7000,0
BTN,20191114,5.7000,5.7000,5.7000,5.7000,0
BTN,20191115,5.7000,5.7000,5.7000,5.7000,0
BTN,20191118,5.7000,5.7000,5.7000,5.7000,0
BTN,20191119,5.7000,5.7000,5.7000,5.7000,0
BTN,20191120,5.7000,5.7000,5.7000,5.7000,0
BTN,20191121,4.9000,5.6000,4.9000,5.6000,500
BTN,20191122,4.8000,4.8000,4.7000,4.7000,200
BTN,20191125,4.8000,4.8000,4.8000,4.8000,0
BTN,20191126,4.3000,4.4000,4.3000,4.3000,1000
BTN,20191127,4.2000,4.2000,4.2000,4.2000,500
BTN,20191128,4.2000,4.2000,4.2000,4.2000,600
BTN,20191129,4.2000,4.2000,4.2000,4.2000,600
BTN,20191202,4.0000,4.0000,3.8000,3.8000,1400
BTN,20191203,3.9000,3.9000,3.9000,3.9000,0
BTN,20191204,3.9000,3.9000,3.9000,3.9000,0
BTN,20191205,3.8000,3.8000,3.8000,3.8000,1300
BTN,20191206,3.7000,3.7000,3.7000,3.7000,900
BTN,20191209,3.6000,3.6000,3.6000,3.6000,500
BTN,20191210,3.6000,3.6000,3.6000,3.6000,0
BTN,20191211,3.6000,3.6000,3.6000,3.6000,0
BTN,20191212,3.3000,3.3000,3.3000,3.3000,100
BTN,20191213,3.3000,3.3000,3.3000,3.3000,0
BTN,20191216,3.3000,3.3000,3.3000,3.3000,0
BTN,20191217,3.3000,3.3000,3.3000,3.3000,0
BTN,20191218,3.3000,3.3000,3.3000,3.3000,0
BTN,20191219,3.3000,3.3000,3.0000,3.0000,5900
BTN,20191220,3.1000,3.1000,3.1000,3.1000,0
BTN,20191223,3.1000,3.1000,3.1000,3.1000,0
BTN,20191224,3.1000,3.1000,3.0000,3.0000,4300
BTN,20191225,3.0000,3.0000,3.0000,3.0000,0
BTN,20191226,3.0000,3.0000,3.0000,3.0000,0
BTN,20191227,3.0000,3.0000,3.0000,3.0000,0
BTN,20191230,3.0000,3.0000,3.0000,3.0000,0
BTN,20191231,3.0000,3.0000,3.0000,3.0000,0
BTN,20200102,3.0000,3.0000,3.0000,3.0000,0
BTN,20200103,3.0000,3.0000,3.0000,3.0000,0
BTN,20200106,3.0000,3.0000,3.0000,3.0000,0
BTN,20200107,3.0000,3.0000,3.0000,3.0000,0
BTN,20200108,3.0000,3.0000,3.0000,3.0000,0
BTN,20200109,3.0000,3.0000,3.0000,3.0000,0
BTN,20200110,3.0000,3.0000,3.0000,3.0000,0
BTN,20200113,3.0000,3.0000,3.0000,3.0000,0
BTN,20200114,3.3000,3.3000,3.3000,3.3000,100
BTN,20200115,3.3000,3.3000,3.3000,3.3000,0
BTN,20200116,3.6000,3.6000,3.6000,3.6000,100
BTN,20200117,3.6000,3.6000,3.6000,3.6000,0
BTN,20200120,3.6000,3.6000,3.6000,3.6000,0
BTN,20200121,3.6000,3.6000,3.6000,3.6000,0
BTN,20200122,3.6000,3.6000,3.6000,3.6000,0
BTN,20200130,3.6000,3.6000,3.6000,3.6000,0
BTN,20200131,3.6000,3.6000,3.6000,3.6000,0
BTN,20200203,3.6000,3.6000,3.6000,3.6000,0
BTN,20200204,3.6000,3.6000,3.6000,3.6000,0
BTN,20200205,4.0000,4.0000,3.8000,3.8000,200
BTN,20200206,3.9000,3.9000,3.9000,3.9000,0
BTN,20200207,3.9000,3.9000,3.9000,3.9000,0
BTN,20200210,3.9000,3.9000,3.9000,3.9000,0
BTN,20200211,3.9000,3.9000,3.9000,3.9000,0
BTN,20200212,3.9000,3.9000,3.9000,3.9000,0
BTN,20200213,3.9000,3.9000,3.9000,3.9000,0
BTN,20200214,3.9000,3.9000,3.9000,3.9000,0
BTN,20200217,3.9000,3.9000,3.9000,3.9000,0
BTN,20200218,3.9000,3.9000,3.9000,3.9000,0
BTN,20200219,3.9000,3.9000,3.9000,3.9000,0
BTN,20200220,3.9000,3.9000,3.9000,3.9000,0
BTN,20200221,3.9000,3.9000,3.9000,3.9000,0
BTN,20200224,3.9000,3.9000,3.9000,3.9000,0
BTN,20200225,3.9000,3.9000,3.9000,3.9000,0
BTN,20200226,3.9000,3.9000,3.9000,3.9000,0
BTN,20200227,3.4000,3.4000,3.4000,3.4000,1000
BTN,20200228,3.4000,3.4000,3.4000,3.4000,0
BTN,20200302,3.4000,3.4000,3.4000,3.4000,0
BTN,20200303,3.2000,3.2000,2.9000,2.9000,3700
BTN,20200304,2.9000,2.9000,2.9000,2.9000,0
BTN,20200305,3.0000,3.0000,3.0000,3.0000,3000
BTN,20200306,3.0000,3.0000,3.0000,3.0000,0
BTN,20200309,3.3000,3.3000,3.3000,3.3000,100
BTN,20200310,3.3000,3.3000,3.3000,3.3000,0
BTN,20200311,3.3000,3.3000,3.3000,3.3000,0
BTN,20200312,3.3000,3.3000,3.3000,3.3000,0
BTN,20200313,3.3000,3.3000,3.3000,3.3000,0
BTN,20200316,3.3000,3.3000,3.3000,3.3000,0
BTN,20200317,3.3000,3.3000,3.3000,3.3000,0
BTN,20200318,3.3000,3.3000,3.3000,3.3000,0
BTN,20200319,3.3000,3.3000,3.3000,3.3000,0
BTN,20200320,3.3000,3.3000,3.3000,3.3000,0
BTN,20200323,2.9000,2.9000,2.9000,2.9000,100
BTN,20200324,2.9000,2.9000,2.9000,2.9000,0
BTN,20200325,2.9000,2.9000,2.9000,2.9000,0
BTN,20200326,2.9000,2.9000,2.9000,2.9000,0
BTN,20200327,2.9000,2.9000,2.9000,2.9000,0
BTN,20200330,3.2000,3.2000,3.2000,3.2000,100
BTN,20200331,3.5000,3.5000,3.5000,3.5000,100
BTN,20200401,3.5000,3.5000,3.5000,3.5000,0
BTN,20200403,3.9000,3.9000,3.9000,3.9000,100
BTN,20200406,4.3000,4.3000,4.3000,4.3000,100
BTN,20200407,4.3000,4.3000,4.3000,4.3000,0
BTN,20200408,4.3000,4.3000,4.3000,4.3000,0
BTN,20200409,4.3000,4.3000,4.3000,4.3000,0
BTN,20200410,4.3000,4.3000,4.3000,4.3000,0
BTN,20200413,4.3000,4.3000,4.3000,4.3000,0
BTN,20200414,4.3000,4.3000,4.3000,4.3000,0
BTN,20200415,4.3000,4.3000,4.3000,4.3000,0
BTN,20200416,3.7000,3.7000,3.7000,3.7000,100
BTN,20200417,3.2000,3.2000,3.2000,3.2000,500
BTN,20200420,3.2000,3.2000,3.2000,3.2000,0
BTN,20200421,3.2000,3.2000,3.2000,3.2000,0
BTN,20200422,3.2000,3.2000,3.2000,3.2000,0
BTN,20200423,3.2000,3.2000,3.2000,3.2000,0
BTN,20200424,3.5000,3.5000,3.5000,3.5000,100
BTN,20200427,3.9000,3.9000,3.9000,3.9000,100
BTN,20200428,3.9000,3.9000,3.9000,3.9000,0
BTN,20200429,3.9000,3.9000,3.9000,3.9000,0
BTN,20200504,3.9000,3.9000,3.9000,3.9000,0
BTN,20200505,3.9000,3.9000,3.9000,3.9000,0
BTN,20200506,3.9000,3.9000,3.9000,3.9000,0
BTN,20200507,3.9000,3.9000,3.9000,3.9000,0
BTN,20200508,3.9000,3.9000,3.9000,3.9000,0
BTN,20200511,3.4000,3.4000,3.4000,3.4000,100
BTN,20200512,2.9000,2.9000,2.9000,2.9000,100
BTN,20200513,2.9000,2.9000,2.9000,2.9000,400
BTN,20200514,2.9000,2.9000,2.9000,2.9000,300
BTN,20200515,2.9000,2.9000,2.9000,2.9000,0
BTN,20200518,2.8000,2.8000,2.8000,2.8000,2800
BTN,20200519,2.8000,2.8000,2.8000,2.8000,0
BTN,20200520,2.8000,2.8000,2.8000,2.8000,0
BTN,20200521,3.1000,3.1000,3.0000,3.0000,600
BTN,20200522,3.4000,3.5000,2.7000,2.7000,505
BTN,20200525,3.3000,3.3000,3.3000,3.3000,500
BTN,20200526,3.3000,3.3000,3.3000,3.3000,0
BTN,20200527,3.2000,3.2000,3.2000,3.2000,400
BTN,20200528,3.2000,3.2000,3.2000,3.2000,0
BTN,20200529,3.1000,3.1000,3.1000,3.1000,700
BTN,20200601,3.1000,3.1000,3.1000,3.1000,0
BTN,20200602,3.1000,3.1000,3.1000,3.1000,1000
BTN,20200603,3.1000,3.1000,3.1000,3.1000,0
BTN,20200604,3.1000,3.1000,3.1000,3.1000,0
BTN,20200605,3.1000,3.1000,3.1000,3.1000,0
BTN,20200608,3.1000,3.1000,3.1000,3.1000,0
BTN,20200609,3.1000,3.1000,3.1000,3.1000,0
BTN,20200610,3.1000,3.1000,3.1000,3.1000,0
BTN,20200611,3.1000,3.1000,3.1000,3.1000,0
BTN,20200612,3.1000,3.1000,3.1000,3.1000,0
BTN,20200615,3.0000,3.0000,3.0000,3.0000,3000
BTN,20200616,3.0000,3.0000,3.0000,3.0000,0
BTN,20200617,3.0000,3.0000,3.0000,3.0000,0
BTN,20200618,2.8000,2.8000,2.8000,2.8000,100
BTN,20200619,2.7000,2.7000,2.7000,2.7000,100
BTN,20200622,2.7000,2.7000,2.7000,2.7000,0
BTN,20200623,2.7000,2.7000,2.7000,2.7000,0
BTN,20200624,2.5000,2.5000,2.4000,2.4000,500
BTN,20200625,2.4000,2.4000,2.4000,2.4000,0
BTN,20200626,2.4000,2.4000,2.4000,2.4000,0
BTN,20200629,2.4000,2.4000,2.4000,2.4000,0
BTN,20200630,2.7000,2.7000,2.7000,2.7000,100
BTN,20200701,2.7000,2.7000,2.7000,2.7000,0
BTN,20200702,2.7000,2.7000,2.7000,2.7000,0
BTN,20200703,2.7000,2.7000,2.7000,2.7000,0
BTN,20200706,2.7000,2.7000,2.7000,2.7000,0
BTN,20200707,2.7000,2.7000,2.7000,2.7000,0
BTN,20200708,2.7000,2.7000,2.7000,2.7000,0
BTN,20200709,2.7000,2.7000,2.7000,2.7000,0
BTN,20200710,2.7000,2.7000,2.7000,2.7000,600
BTN,20200713,2.7000,2.7000,2.7000,2.7000,0
BTN,20200714,2.9000,2.9000,2.9000,2.9000,2700
BTN,20200715,2.9000,2.9000,2.9000,2.9000,0
BTN,20200716,2.9000,2.9000,2.9000,2.9000,0
BTN,20200717,2.8000,2.8000,2.8000,2.8000,2500
BTN,20200720,2.9000,2.9000,2.8000,2.8000,15550
BTN,20200721,2.8000,2.8000,2.8000,2.8000,0
BTN,20200722,2.8000,2.8000,2.8000,2.8000,0
BTN,20200723,2.8000,2.8000,2.5000,2.5000,5700
BTN,20200724,2.5000,2.5000,2.5000,2.5000,0
BTN,20200727,2.5000,2.5000,2.5000,2.5000,6500
BTN,20200728,2.5000,2.5000,2.5000,2.5000,2000
BTN,20200729,2.5000,2.5000,2.5000,2.5000,2700
BTN,20200730,2.5000,2.5000,2.5000,2.5000,3700
BTN,20200731,2.5000,2.5000,2.5000,2.5000,4000
BTN,20200803,2.5000,2.5000,2.5000,2.5000,2000
BTN,20200804,2.5000,2.5000,2.5000,2.5000,4400
BTN,20200805,2.5000,2.5000,2.5000,2.5000,5800
BTN,20200806,2.5000,2.5000,2.5000,2.5000,0
BTN,20200807,2.5000,2.5000,2.5000,2.5000,0
BTN,20200810,2.8000,2.8000,2.8000,2.8000,1900
BTN,20200811,3.2000,3.2000,3.2000,3.2000,9600
BTN,20200812,3.6000,3.6000,3.5000,3.6000,32600
BTN,20200813,3.6000,3.6000,3.1000,3.6000,1450
BTN,20200814,2.8000,2.9000,2.8000,2.9000,7300
BTN,20200817,2.5000,2.6000,2.5000,2.5000,4600
BTN,20200818,2.5000,2.8000,2.5000,2.8000,2500
BTN,20200819,2.5000,2.8000,2.5000,2.8000,300
BTN,20200820,2.8000,2.8000,2.8000,2.8000,200
BTN,20200821,2.6000,2.8000,2.5000,2.8000,3800
BTN,20200824,2.7000,2.8000,2.5000,2.8000,25100
BTN,20200825,2.8000,2.8000,2.8000,2.8000,100
BTN,20200826,2.8000,2.8000,2.8000,2.8000,0
BTN,20200827,3.0000,3.0000,3.0000,3.0000,100
BTN,20200828,3.0000,3.0000,3.0000,3.0000,0
BTN,20200831,3.0000,3.0000,3.0000,3.0000,0
BTN,20200901,2.8000,2.8000,2.8000,2.8000,100
BTN,20200903,2.8000,3.0000,2.8000,3.0000,400
BTN,20200904,2.8000,2.9000,2.8000,2.9000,18200
BTN,20200907,2.8000,2.8000,2.8000,2.8000,0
BTN,20200908,2.7000,2.7000,2.7000,2.7000,100
BTN,20200909,2.7000,2.7000,2.7000,2.7000,0
BTN,20200910,2.7000,2.7000,2.7000,2.7000,0
BTN,20200911,2.7000,2.7000,2.7000,2.7000,100
BTN,20200914,2.7000,2.7000,2.7000,2.7000,200
BTN,20200915,2.7000,2.7000,2.7000,2.7000,0
BTN,20200916,2.7000,2.7000,2.7000,2.7000,0
BTN,20200917,2.7000,2.7000,2.7000,2.7000,0
BTN,20200918,2.7000,2.7000,2.7000,2.7000,0
BTN,20200921,2.7000,2.7000,2.7000,2.7000,0
BTN,20200922,3.0000,3.0000,2.9000,2.9000,3500
BTN,20200923,3.0000,3.0000,3.0000,3.0000,0
BTN,20200924,2.9000,2.9000,2.9000,2.9000,4300
BTN,20200925,2.9000,2.9000,2.9000,2.9000,0
BTN,20200928,2.9000,2.9000,2.9000,2.9000,0
BTN,20200929,2.9000,2.9000,2.9000,2.9000,34
BTN,20200930,2.8000,2.8000,2.8000,2.8000,100
BTN,20201001,2.9000,2.9000,2.9000,2.9000,6300
BTN,20201002,2.9000,2.9000,2.9000,2.9000,1
